item_id,item_name,category,household_id,purchase_date,expiry_date,purchase_quantity,unit,daily_usage_rate,shelf_life_days,wasted_quantity,wasted_pct,target_label
ITM004,Rice,Grains,HH013,2026-01-27,2027-01-27,1.26,kg,0.207,365,0.0,0.0,Low Risk
ITM011,Cereal,Pantry,HH010,2026-01-27,2026-05-27,0.83,boxes,0.049,120,0.12,0.145,Medium Risk
ITM008,Yogurt,Dairy,HH003,2026-01-04,2026-01-18,3.28,cups,0.419,14,0.0,0.0,Low Risk
ITM004,Rice,Grains,HH018,2026-05-25,2027-05-25,0.5,kg,0.109,365,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH004,2026-05-14,2026-05-19,1.62,kg,0.602,5,0.28,0.173,Medium Risk
ITM003,Bread,Bakery,HH007,2026-02-16,2026-02-21,3.07,loaves,0.501,5,0.13,0.042,Low Risk
ITM001,Milk,Dairy,HH015,2026-04-30,2026-05-07,5.91,liters,0.29,7,5.91,1.0,High Risk
ITM013,Frozen Peas,Frozen,HH017,2026-04-23,2026-09-20,0.58,bags,0.128,150,0.0,0.0,Low Risk
ITM013,Frozen Peas,Frozen,HH012,2026-01-25,2026-06-24,0.99,bags,0.104,150,0.13,0.131,Medium Risk
ITM006,Chicken Breast,Meat,HH020,2026-03-03,2026-03-07,1.02,kg,0.231,4,0.01,0.01,Low Risk
ITM006,Chicken Breast,Meat,HH018,2026-04-06,2026-04-10,1.84,kg,0.301,4,0.69,0.375,Medium Risk
ITM015,Butter,Dairy,HH012,2026-01-06,2026-03-07,0.51,kg,0.057,60,0.0,0.0,Low Risk
ITM009,Cheese,Dairy,HH017,2026-02-07,2026-03-09,0.58,kg,0.094,30,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH020,2026-04-06,2026-04-11,3.78,kg,0.168,5,3.78,1.0,High Risk
ITM002,Eggs,Dairy,HH004,2026-04-09,2026-04-30,3.73,dozen,0.426,21,0.1,0.027,Low Risk
ITM011,Cereal,Pantry,HH019,2026-05-26,2026-09-23,0.4,boxes,0.169,120,0.07,0.175,Medium Risk
ITM005,Ice Cream,Frozen,HH016,2026-04-12,2026-07-11,1.52,tubs,0.117,90,0.0,0.0,Low Risk
ITM006,Chicken Breast,Meat,HH004,2026-01-17,2026-01-21,0.92,kg,0.539,4,0.0,0.0,Low Risk
ITM004,Rice,Grains,HH007,2026-03-08,2027-03-08,1.1,kg,0.097,365,0.0,0.0,Low Risk
ITM009,Cheese,Dairy,HH002,2026-03-24,2026-04-23,0.89,kg,0.06,30,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH013,2026-03-11,2026-03-16,1.6,kg,0.451,5,0.0,0.0,Low Risk
ITM008,Yogurt,Dairy,HH013,2026-01-29,2026-02-12,4.58,cups,0.521,14,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH007,2026-02-11,2026-02-16,3.83,kg,0.278,5,3.76,0.982,High Risk
ITM003,Bread,Bakery,HH016,2026-04-22,2026-04-27,2.05,loaves,0.34,5,0.29,0.141,Medium Risk
ITM012,Cooking Oil,Pantry,HH018,2026-04-14,2026-10-11,0.18,liters,0.045,180,0.0,0.0,Low Risk
ITM010,Bananas,Produce,HH007,2026-02-28,2026-03-05,3.84,kg,0.211,5,3.84,1.0,High Risk
ITM013,Frozen Peas,Frozen,HH010,2026-04-06,2026-09-03,0.96,bags,0.053,150,0.14,0.146,Medium Risk
ITM002,Eggs,Dairy,HH005,2026-02-10,2026-03-03,2.66,dozen,0.239,21,0.0,0.0,Low Risk
